客户ID,会员年限,年龄,性别,城市等级,最近消费日期,消费频率,总消费金额,平均单次消费,折扣使用率,满意度评分,客户类型标签
CUST_000021,2.7,37.0,女,二线,2024-11-22,4,3774.08,943.52,0.38,4.0,一般客户
CUST_000022,3.7,30.0,男,三线,2024-12-11,13,7486.08,575.85,0.33,5.0,潜力客户
CUST_000023,4.4,57.0,女,三线,2024-09-24,4,1831.66,457.91,0.77,3.0,流失风险
CUST_000024,3.0,56.0,女,一线,2024-12-28,23,5075.92,220.69,0.21,5.0,高价值
CUST_000025,3.2,54.0,男,二线,2024-12-06,11,4832.34,439.3,0.34,4.0,潜力客户
CUST_000026,3.7,55.0,男,三线,2024-12-21,13,4965.49,381.96,0.33,4.0,潜力客户
CUST_000027,1.1,38.0,女,二线,2024-09-17,4,921.16,230.29,0.66,3.0,流失风险
CUST_000028,2.3,52.0,女,其他,2024-07-16,1,1929.61,1929.61,0.62,3.0,流失风险
CUST_000029,1.5,52.0,女,其他,2024-12-04,8,4584.61,573.08,0.31,3.0,潜力客户
CUST_000030,1.8,47.0,女,三线,2024-12-12,13,4793.23,368.71,0.26,4.0,潜力客户
CUST_000031,1.8,28.0,男,三线,2024-12-17,14,5098.9,364.21,0.32,4.0,潜力客户
CUST_000032,1.3,23.0,男,三线,2024-12-01,8,3670.02,458.75,0.41,3.0,一般客户
CUST_000033,1.8,36.0,男,一线,2024-12-05,9,7302.02,811.34,0.21,4.0,潜力客户
CUST_000034,4.4,51.0,男,三线,2024-08-01,1,1185.9,1185.9,0.48,4.0,流失风险
CUST_000035,4.2,49.0,女,二线,2024-07-16,2,984.43,492.22,0.51,3.0,流失风险
CUST_000036,3.0,55.0,男,一线,2024-12-22,26,11134.29,428.24,0.13,3.0,高价值
CUST_000037,3.6,50.0,男,一线,2024-07-11,4,1275.04,318.76,0.57,3.0,流失风险
CUST_000038,1.4,26.0,男,一线,2024-10-19,2,637.7,318.85,0.52,4.0,流失风险
CUST_000039,1.5,26.0,女,二线,2024-11-14,8,2301.55,287.69,0.48,3.0,一般客户
CUST_000040,3.7,37.0,女,一线,2024-08-13,1,1309.07,1309.07,0.65,4.0,流失风险
CUST_000041,3.2,24.0,女,三线,2024-07-16,1,1187.38,1187.38,0.78,3.0,流失风险
CUST_000042,1.1,44.0,男,二线,2024-12-15,14,4886.3,349.02,0.32,5.0,潜力客户
CUST_000043,2.7,32.0,女,三线,2024-12-29,17,9227.82,542.81,0.24,5.0,高价值
CUST_000044,3.4,57.0,男,三线,2024-12-17,12,6753.07,562.76,0.4,3.0,潜力客户
CUST_000045,4.0,62.0,男,二线,2024-10-11,4,1143.49,285.87,0.7,4.0,流失风险
CUST_000046,1.2,40.0,男,二线,2024-12-14,10,3499.92,349.99,0.39,5.0,潜力客户
CUST_000047,2.8,46.0,女,一线,2024-08-26,2,1447.76,723.88,0.52,5.0,流失风险
CUST_000048,4.9,26.0,女,二线,2024-10-09,1,1896.39,1896.39,0.8,4.0,流失风险
CUST_000049,4.5,34.0,男,二线,2024-11-08,2,1755.45,877.72,0.74,5.0,流失风险
CUST_000050,5.5,43.0,女,其他,2024-12-18,19,8498.42,447.29,0.27,5.0,高价值
CUST_000051,4.1,48.0,男,二线,2024-09-08,4,625.25,156.31,0.62,4.0,流失风险
CUST_000052,3.2,62.0,女,三线,2024-12-09,11,5857.37,532.49,0.35,3.0,潜力客户
CUST_000053,2.9,53.0,女,二线,2024-11-22,3,1670.79,556.93,0.3,3.0,一般客户
CUST_000054,3.5,52.0,女,三线,2024-10-28,1,1284.65,1284.65,0.68,3.0,流失风险
CUST_000055,0.6,45.0,女,二线,2024-12-06,6,3876.11,646.02,0.42,3.0,一般客户
CUST_000056,1.1,38.0,男,二线,2024-11-19,6,2081.04,346.84,0.44,4.0,一般客户
CUST_000057,3.8,26.0,女,二线,2024-12-14,13,3381.0,260.08,0.28,5.0,潜力客户
CUST_000058,2.5,53.0,女,二线,2024-07-31,1,539.55,539.55,0.72,4.0,流失风险
CUST_000059,1.1,42.0,男,其他,2024-12-10,12,3317.56,276.46,0.23,5.0,潜力客户
CUST_000060,4.1,31.0,男,一线,2024-08-07,3,1333.15,444.38,0.78,3.0,流失风险
CUST_000061,3.6,55.0,男,一线,2024-12-14,12,4036.14,336.34,0.35,4.0,潜力客户
CUST_000062,2.5,51.0,女,二线,2024-12-14,5,1923.33,384.67,0.59,3.0,一般客户
CUST_000063,6.8,55.0,男,二线,2024-12-26,19,14590.42,767.92,0.28,4.0,高价值
CUST_000064,1.6,51.0,女,其他,2024-11-13,6,2642.34,440.39,0.57,5.0,一般客户
CUST_000065,3.5,55.0,女,二线,2024-12-23,15,12381.74,825.45,0.19,4.0,高价值
CUST_000066,1.7,32.0,男,三线,2024-12-06,5,2611.79,522.36,0.48,3.0,一般客户
CUST_000067,3.9,40.0,女,二线,2024-12-24,10,5576.18,557.62,0.32,3.0,潜力客户
CUST_000068,4.1,35.0,男,二线,2024-12-25,15,13016.35,867.76,0.28,3.0,高价值
CUST_000069,0.9,38.0,男,三线,2024-11-25,9,2534.97,281.66,0.41,4.0,一般客户
CUST_000070,2.5,44.0,男,三线,2024-12-12,14,4852.36,346.6,0.32,3.0,潜力客户
CUST_000071,7.1,39.0,男,二线,2024-12-28,21,15307.48,728.93,0.25,4.0,高价值
CUST_000072,2.0,47.0,男,一线,2024-12-22,11,3100.36,281.85,0.24,3.0,潜力客户
CUST_000073,1.7,43.0,女,三线,2024-12-07,5,2946.47,589.29,0.48,4.0,一般客户
CUST_000074,5.9,27.0,女,一线,2024-12-22,19,10446.23,549.8,0.21,3.0,高价值
CUST_000075,1.3,45.0,女,一线,2024-12-04,11,7254.09,659.46,0.36,4.0,潜力客户
CUST_000076,1.9,36.0,女,二线,2024-11-11,9,3689.83,409.98,0.58,3.0,一般客户
CUST_000077,1.7,26.0,男,二线,2024-12-15,9,2605.11,289.46,0.55,4.0,一般客户
CUST_000078,2.4,32.0,女,二线,2024-12-05,9,3121.69,346.85,0.33,4.0,一般客户
CUST_000079,2.6,61.0,女,二线,2024-12-03,9,5743.02,638.11,0.24,4.0,潜力客户
CUST_000080,1.4,35.0,女,其他,2024-10-10,3,1691.43,563.81,0.74,3.0,流失风险
CUST_000081,3.3,58.0,男,一线,2024-12-26,13,3240.47,249.27,0.37,3.0,潜力客户
CUST_000082,2.4,46.0,女,二线,2024-07-17,2,1284.6,642.3,0.75,4.0,流失风险
CUST_000083,2.8,38.0,女,二线,2024-07-15,2,1309.67,654.84,0.63,4.0,流失风险
CUST_000084,2.3,63.0,男,三线,2024-10-09,3,1147.29,382.43,0.69,4.0,流失风险
CUST_000085,0.9,58.0,女,一线,2024-11-08,5,3365.79,673.16,0.39,3.0,一般客户
CUST_000086,0.8,57.0,男,三线,2024-12-12,5,3263.91,652.78,0.46,4.0,一般客户
CUST_000087,2.4,57.0,男,二线,2024-11-18,9,2226.87,247.43,0.3,3.0,一般客户
CUST_000088,2.3,64.0,男,二线,2024-12-17,13,4136.75,318.21,0.26,4.0,潜力客户
CUST_000089,0.8,26.0,女,三线,2024-11-07,6,2778.89,463.15,0.58,3.0,一般客户
CUST_000090,0.8,32.0,男,一线,2024-12-08,8,1231.96,154.0,0.55,5.0,一般客户
CUST_000091,3.1,42.0,男,三线,2024-09-21,1,1804.84,1804.84,0.64,3.0,流失风险
CUST_000092,4.5,28.0,男,三线,2024-10-13,3,1121.76,373.92,0.77,4.0,流失风险
CUST_000093,1.5,27.0,男,二线,2024-12-15,10,3704.29,370.43,0.3,5.0,潜力客户
CUST_000094,3.9,41.0,男,一线,2024-12-09,12,5575.87,464.66,0.29,5.0,潜力客户
CUST_000095,1.6,53.0,男,三线,2024-12-16,7,2191.95,313.14,0.54,3.0,一般客户
CUST_000096,3.9,49.0,男,二线,2024-10-29,2,941.07,470.53,0.61,5.0,流失风险
CUST_000097,6.5,40.0,女,二线,2024-12-23,27,6132.55,227.13,0.15,3.0,高价值
CUST_000098,1.1,45.0,男,二线,2024-12-09,14,6294.62,449.62,0.24,4.0,潜力客户
CUST_000099,2.7,56.0,男,三线,2024-12-22,10,7437.3,743.73,0.34,5.0,潜力客户
CUST_000100,3.5,42.0,男,一线,2024-09-23,4,630.39,157.6,0.69,4.0,流失风险
CUST_000101,1.4,23.0,男,一线,2024-12-15,3,3452.33,1150.78,0.38,5.0,一般客户
CUST_000102,1.7,45.0,男,二线,2024-12-18,9,7305.34,811.7,0.39,5.0,潜力客户
CUST_000103,1.8,23.0,女,二线,2024-11-15,3,2454.34,818.11,0.52,3.0,一般客户
CUST_000104,1.7,32.0,女,二线,2024-11-13,2,1288.54,644.27,0.51,5.0,流失风险
CUST_000105,1.7,63.0,男,二线,2024-11-13,3,2215.74,738.58,0.52,3.0,一般客户
CUST_000106,1.7,38.0,男,二线,2024-11-13,6,2899.29,483.22,0.47,4.0,一般客户
CUST_000107,2.5,47.0,男,三线,2024-12-19,20,16070.5,803.53,0.22,4.0,高价值
CUST_000108,2.9,43.0,女,一线,2024-10-09,4,1349.61,337.4,0.67,3.0,流失风险
CUST_000109,2.5,55.0,女,二线,2024-12-24,11,3257.13,296.1,0.32,3.0,潜力客户
CUST_000110,2.8,56.0,女,三线,2024-12-26,8,6524.63,815.58,0.29,4.0,潜力客户
CUST_000111,1.3,38.0,女,二线,2024-12-25,11,4804.87,436.81,0.38,3.0,潜力客户
CUST_000112,2.5,37.0,女,一线,2024-11-23,5,3196.67,639.33,0.5,4.0,一般客户
CUST_000113,1.1,38.0,男,二线,2024-12-18,12,6349.59,529.13,0.32,5.0,潜力客户
CUST_000114,7.5,44.0,女,三线,2024-12-26,21,9460.24,450.49,0.29,3.0,高价值
CUST_000115,2.0,55.0,女,二线,2024-11-05,9,1111.02,123.45,0.37,4.0,一般客户
CUST_000116,1.8,34.0,女,其他,2024-11-08,9,3411.93,379.1,0.5,4.0,一般客户
CUST_000117,1.1,34.0,男,其他,2024-12-04,10,7350.49,735.05,0.37,3.0,潜力客户
CUST_000118,2.2,37.0,女,其他,2024-12-18,28,6328.15,226.01,0.2,,高价值
CUST_000119,1.1,35.0,男,其他,2024-11-08,6,3212.75,535.46,0.33,4.0,一般客户
CUST_000120,1.6,45.0,男,其他,2024-12-16,7,3963.17,566.17,0.42,5.0,一般客户
CUST_000121,3.8,34.0,女,三线,2024-12-21,14,7395.59,528.26,0.29,3.0,潜力客户
CUST_000122,2.6,,男,一线,2024-11-18,9,1691.71,187.97,0.34,3.0,一般客户
CUST_000123,4.9,56.0,女,二线,2024-11-11,1,586.76,586.76,0.75,3.0,流失风险
CUST_000124,2.7,34.0,男,二线,2024-11-29,8,3989.01,498.63,0.44,4.0,一般客户
CUST_000125,1.2,30.0,男,其他,2024-11-13,5,3632.38,726.48,0.34,3.0,一般客户
CUST_000126,1.8,59.0,男,三线,2024-12-02,12,6676.06,556.34,0.25,4.0,潜力客户
CUST_000127,7.9,53.0,男,其他,2024-12-19,27,18417.2,682.12,0.11,4.0,高价值
CUST_000128,2.3,37.0,女,其他,2024-11-07,5,3593.48,718.7,0.46,5.0,一般客户
CUST_000129,2.2,59.0,男,其他,2024-11-04,7,3092.41,441.77,0.49,5.0,一般客户
CUST_000130,2.5,60.0,男,三线,2024-11-16,9,1015.44,112.83,0.37,5.0,一般客户
CUST_000131,2.0,38.0,男,二线,2024-11-08,4,1861.11,465.28,0.59,3.0,一般客户
CUST_000132,3.2,49.0,女,其他,2024-09-08,3,1641.54,547.18,0.79,3.0,流失风险
CUST_000133,2.2,43.0,女,二线,2024-08-13,4,601.76,150.44,0.68,3.0,流失风险
CUST_000134,6.1,56.0,女,二线,2024-12-29,16,19852.23,1240.76,0.19,3.0,高价值
CUST_000135,2.0,55.0,男,其他,2024-07-29,3,1728.18,576.06,0.4,4.0,流失风险
CUST_000136,2.2,23.0,女,一线,2024-11-08,9,3384.43,376.05,0.37,3.0,一般客户
CUST_000137,3.9,58.0,女,二线,2024-07-14,4,546.95,136.74,0.76,3.0,流失风险
CUST_000138,1.9,46.0,女,二线,2024-11-16,2,1841.15,920.57,0.49,4.0,流失风险
CUST_000139,0.9,28.0,女,一线,2024-11-22,3,1273.49,424.5,0.44,3.0,一般客户
CUST_000140,2.9,38.0,女,一线,2024-07-09,4,1694.81,423.7,0.45,4.0,流失风险
CUST_000141,2.8,34.0,男,二线,2024-12-05,13,4629.63,356.13,0.29,4.0,潜力客户
CUST_000142,3.0,59.0,女,三线,2024-12-12,14,6609.44,472.1,0.35,4.0,潜力客户
CUST_000143,2.1,49.0,女,二线,2024-12-19,23,13563.57,589.72,0.2,3.0,高价值
CUST_000144,2.1,47.0,男,一线,2024-12-25,8,3439.33,429.92,0.21,4.0,潜力客户
CUST_000145,2.2,24.0,女,二线,2024-12-02,4,1123.55,280.89,0.59,4.0,一般客户
CUST_000146,2.9,41.0,男,三线,2024-11-06,4,3805.61,951.4,0.49,3.0,一般客户
CUST_000147,2.8,62.0,男,二线,2024-07-08,2,1725.95,862.97,0.66,4.0,流失风险
CUST_000148,2.0,57.0,女,其他,2024-12-05,7,2437.84,348.26,0.4,4.0,一般客户
CUST_000149,5.9,62.0,男,一线,2024-12-19,16,5312.92,332.06,0.17,4.0,高价值
CUST_000150,3.5,42.0,女,三线,2024-12-05,14,4017.89,286.99,0.23,4.0,潜力客户
CUST_000151,1.1,53.0,女,一线,2024-12-15,13,7938.25,610.63,0.37,3.0,潜力客户
CUST_000152,2.1,33.0,男,二线,2024-12-02,4,3378.87,844.72,0.6,5.0,一般客户
CUST_000153,1.5,35.0,男,二线,2024-12-19,11,7545.16,685.92,0.25,3.0,潜力客户
CUST_000154,2.0,46.0,女,二线,2024-12-03,9,2077.7,230.86,0.35,4.0,一般客户
CUST_000155,3.9,32.0,女,二线,2024-12-19,11,3654.37,332.22,0.29,3.0,潜力客户
CUST_000156,1.6,33.0,女,一线,2024-12-05,8,1437.27,179.66,0.48,3.0,一般客户
CUST_000157,4.8,49.0,女,二线,2024-12-26,29,14957.07,515.76,0.27,4.0,高价值
CUST_000158,3.4,22.0,男,二线,2024-12-17,16,6844.56,427.79,0.11,5.0,高价值
CUST_000159,1.4,45.0,女,一线,2024-12-10,10,3207.86,320.79,0.4,3.0,潜力客户
CUST_000160,3.1,59.0,男,一线,2024-10-09,3,881.34,293.78,0.54,3.0,流失风险
CUST_000161,2.9,29.0,男,一线,2024-11-05,6,3020.3,503.38,0.33,5.0,一般客户
CUST_000162,2.1,39.0,女,其他,2024-12-26,14,7893.16,563.8,0.2,4.0,潜力客户
CUST_000163,6.1,37.0,女,三线,2024-12-23,23,15342.9,667.08,0.14,4.0,高价值
CUST_000164,2.0,46.0,女,三线,2024-12-25,9,6024.77,669.42,0.37,4.0,潜力客户
CUST_000165,1.3,27.0,女,其他,2024-12-13,4,2212.42,553.11,0.5,3.0,一般客户
CUST_000166,3.6,22.0,男,二线,2024-07-11,4,945.3,236.33,0.53,4.0,流失风险
CUST_000167,2.1,47.0,女,一线,2024-12-02,8,4187.72,523.47,0.25,4.0,潜力客户
CUST_000168,4.8,49.0,男,二线,2024-11-08,3,1313.55,437.85,0.74,3.0,流失风险
CUST_000169,2.8,27.0,女,三线,2024-12-22,14,5668.01,404.86,0.35,4.0,潜力客户
CUST_000170,1.3,57.0,女,一线,2024-08-02,3,1845.07,615.02,0.78,5.0,流失风险
CUST_000171,1.8,48.0,女,二线,2024-12-25,13,5429.36,417.64,0.26,4.0,潜力客户
CUST_000172,7.9,51.0,男,三线,2024-12-17,16,10998.58,687.41,0.26,3.0,高价值
CUST_000173,1.9,57.0,男,一线,2024-12-10,9,1320.63,146.74,0.38,5.0,一般客户
CUST_000174,1.0,42.0,女,一线,2024-12-14,9,3561.52,395.72,0.33,3.0,潜力客户
CUST_000175,2.5,40.0,女,三线,2024-11-05,3,1710.61,570.2,0.38,5.0,一般客户
CUST_000176,4.5,42.0,男,一线,2024-09-09,3,852.85,284.28,0.59,4.0,流失风险
CUST_000177,1.5,46.0,女,一线,2024-11-15,5,1695.84,339.17,0.48,4.0,一般客户
CUST_000178,3.0,40.0,女,二线,2024-11-08,3,3077.31,1025.77,0.34,5.0,一般客户
CUST_000179,3.4,54.0,男,二线,2024-10-12,4,1467.93,366.98,0.56,3.0,流失风险
CUST_000180,1.1,59.0,女,三线,2024-12-15,6,3401.07,566.84,0.46,3.0,一般客户
CUST_000181,1.4,56.0,女,二线,2024-11-25,8,1157.02,144.63,0.41,3.0,一般客户
CUST_000182,2.2,37.0,男,二线,2024-11-11,7,1525.91,217.99,0.36,5.0,一般客户
CUST_000183,7.6,49.0,女,一线,2024-12-19,22,16931.75,769.62,0.15,5.0,高价值
CUST_000184,1.4,29.0,女,一线,2024-09-13,1,1507.34,1507.34,0.5,5.0,流失风险
CUST_000185,2.4,23.0,女,二线,2024-10-12,1,841.04,841.04,0.55,3.0,流失风险
CUST_000186,2.5,64.0,女,二线,2024-12-04,9,6002.97,667.0,0.38,3.0,潜力客户
CUST_000187,1.5,51.0,女,一线,2024-11-05,8,3452.35,431.54,0.56,3.0,一般客户
CUST_000188,2.4,31.0,女,一线,2024-09-12,3,1542.43,514.14,0.79,5.0,流失风险
CUST_000189,4.1,24.0,女,三线,2024-11-03,1,1409.38,1409.38,0.47,4.0,流失风险
CUST_000190,3.4,,女,二线,2024-12-26,16,12591.61,786.98,0.12,4.0,高价值
CUST_000191,2.1,23.0,女,一线,2024-11-29,7,1316.99,188.14,0.36,3.0,一般客户
CUST_000192,5.0,36.0,女,一线,2024-11-07,1,587.25,587.25,0.42,3.0,流失风险
CUST_000193,6.2,25.0,女,一线,2024-12-17,28,6515.69,232.7,0.11,4.0,高价值
CUST_000194,2.3,56.0,男,二线,2024-12-07,11,5635.21,512.29,0.23,5.0,潜力客户
CUST_000195,1.5,59.0,男,三线,2024-11-25,7,1033.09,147.58,0.44,3.0,一般客户
CUST_000196,1.1,39.0,男,一线,2024-12-16,7,1036.36,148.05,0.59,3.0,一般客户
CUST_000197,1.8,25.0,女,一线,2024-12-16,14,5496.67,392.62,0.23,4.0,潜力客户
CUST_000198,1.5,30.0,女,三线,2024-10-06,1,1934.33,1934.33,0.44,3.0,流失风险
CUST_000199,3.3,55.0,男,二线,2024-12-09,9,4265.29,473.92,0.37,3.0,潜力客户
CUST_000200,1.4,44.0,女,一线,2024-08-22,4,1823.69,455.92,0.8,3.0,流失风险
CUST_000201,0.5,42.0,男,二线,2024-11-02,5,1213.77,242.75,0.59,5.0,一般客户
CUST_000202,1.7,51.0,女,一线,2024-07-05,3,777.79,259.26,0.44,4.0,流失风险
CUST_000203,6.6,23.0,女,一线,2024-12-19,15,9431.67,628.78,0.22,4.0,高价值
CUST_000204,2.4,31.0,女,二线,2024-12-18,8,7799.13,974.89,0.38,5.0,潜力客户
CUST_000205,2.0,31.0,男,其他,2024-11-15,9,2562.3,284.7,0.35,3.0,一般客户
CUST_000206,1.5,41.0,男,一线,2024-12-13,11,4943.26,449.39,0.25,5.0,潜力客户
CUST_000207,2.7,62.0,男,三线,2024-11-12,4,3447.84,861.96,0.55,3.0,一般客户
CUST_000208,1.7,43.0,女,二线,2024-10-02,4,1336.72,334.18,0.42,4.0,流失风险
CUST_000209,0.7,36.0,男,三线,2024-12-15,7,3055.89,436.56,0.59,4.0,一般客户
CUST_000210,1.9,,女,其他,2024-11-14,5,1892.65,378.53,0.51,4.0,一般客户
CUST_000211,3.6,56.0,男,三线,2024-12-11,8,6708.56,838.57,0.26,3.0,潜力客户
CUST_000212,1.4,57.0,男,三线,2024-11-08,5,1564.07,312.81,0.54,,一般客户
CUST_000213,1.4,52.0,男,其他,2024-12-03,3,3874.22,1291.41,0.4,5.0,一般客户
CUST_000214,1.7,59.0,男,三线,2024-12-23,11,6902.0,627.45,0.23,3.0,潜力客户
CUST_000215,0.7,25.0,男,三线,2024-12-13,6,3382.59,563.77,0.48,3.0,一般客户
CUST_000216,2.5,40.0,男,三线,2024-12-07,11,3264.02,296.73,0.32,4.0,潜力客户
CUST_000217,6.7,52.0,女,二线,2024-12-25,22,10013.57,455.16,0.24,4.0,高价值
CUST_000218,4.2,49.0,女,其他,2024-12-30,21,8537.86,406.56,0.11,,高价值
CUST_000219,2.5,27.0,女,三线,2024-11-30,8,2908.53,363.57,0.34,4.0,一般客户
CUST_000220,4.9,64.0,男,三线,2024-09-09,1,1348.32,1348.32,0.47,3.0,流失风险
CUST_000221,1.1,26.0,女,一线,2024-11-02,5,3822.04,764.41,0.43,5.0,一般客户
CUST_000222,0.7,56.0,男,三线,2024-12-12,6,1400.44,233.41,0.52,5.0,一般客户
CUST_000223,3.8,42.0,男,一线,2024-12-15,11,4994.18,454.02,0.29,3.0,潜力客户
CUST_000224,1.7,52.0,男,三线,2024-12-24,14,7531.27,537.95,0.25,3.0,潜力客户
CUST_000225,1.9,54.0,女,一线,2024-11-04,6,2859.1,476.52,0.4,3.0,一般客户
CUST_000226,2.7,47.0,男,二线,2024-12-06,6,1383.96,230.66,0.42,,一般客户
CUST_000227,1.8,40.0,男,其他,2024-08-27,1,1481.26,1481.26,0.63,5.0,流失风险
CUST_000228,2.3,43.0,女,二线,2024-12-26,9,6600.04,733.34,0.22,3.0,潜力客户
CUST_000229,3.2,27.0,女,二线,2024-10-05,1,1687.55,1687.55,0.65,3.0,流失风险
CUST_000230,1.5,43.0,男,三线,2024-12-15,4,2386.89,596.72,0.5,3.0,一般客户
CUST_000231,1.6,41.0,男,三线,2024-12-24,10,6931.39,693.14,0.25,5.0,潜力客户
CUST_000232,3.0,62.0,女,三线,2024-12-23,19,14894.44,783.92,0.15,4.0,高价值
CUST_000233,1.7,44.0,女,二线,2024-12-14,6,2616.11,436.02,0.33,5.0,一般客户
CUST_000234,2.4,58.0,女,三线,2024-11-05,2,641.05,320.53,0.7,3.0,流失风险
CUST_000235,3.8,28.0,女,二线,2024-08-05,2,736.93,368.47,0.72,5.0,流失风险
CUST_000236,1.1,53.0,女,一线,2024-12-21,8,5990.56,748.82,0.27,4.0,潜力客户
CUST_000237,1.8,42.0,女,二线,2024-11-28,3,3410.81,1136.94,0.59,5.0,一般客户
CUST_000238,3.7,25.0,女,其他,2024-09-19,3,694.74,231.58,0.44,3.0,流失风险
CUST_000239,2.8,32.0,女,三线,2024-11-19,7,1889.47,269.92,0.33,3.0,一般客户
CUST_000240,2.6,49.0,女,一线,2024-12-05,10,7399.11,739.91,0.25,3.0,潜力客户
CUST_000241,6.5,43.0,女,三线,2024-12-22,17,11755.26,691.49,0.23,5.0,高价值
CUST_000242,1.3,49.0,女,一线,2024-12-26,11,6696.47,608.77,0.26,4.0,潜力客户
CUST_000243,3.8,59.0,男,一线,2024-08-22,4,1464.32,366.08,0.61,5.0,流失风险
CUST_000244,2.4,34.0,女,三线,2024-12-03,6,3613.61,602.27,0.54,5.0,一般客户
CUST_000245,4.3,29.0,男,二线,2024-12-20,25,10846.39,433.86,0.15,5.0,高价值
CUST_000246,1.2,40.0,女,三线,2024-11-22,8,3754.23,469.28,0.56,4.0,一般客户
CUST_000247,2.2,40.0,女,一线,2024-09-07,2,1590.01,795.0,0.73,4.0,流失风险
CUST_000248,0.5,46.0,女,一线,2024-11-07,3,1725.68,575.23,0.44,,一般客户
CUST_000249,2.7,43.0,女,一线,2024-11-06,6,1193.47,198.91,0.56,3.0,一般客户
CUST_000250,1.8,42.0,男,一线,2024-12-10,13,5145.91,395.84,0.36,5.0,潜力客户
CUST_000251,2.8,38.0,男,其他,2024-11-14,7,1281.57,183.08,0.5,3.0,一般客户
CUST_000252,1.7,40.0,女,二线,2024-11-07,6,3732.03,622.0,0.34,4.0,一般客户
CUST_000253,1.1,49.0,男,三线,2024-11-27,3,3107.9,1035.97,0.45,5.0,一般客户
CUST_000254,4.0,59.0,男,二线,2024-12-03,9,5364.49,596.05,0.25,3.0,潜力客户
CUST_000255,1.2,50.0,男,三线,2024-11-21,5,1420.07,284.01,0.59,4.0,一般客户
CUST_000256,0.5,29.0,男,一线,2024-11-27,3,2549.72,849.91,0.3,3.0,一般客户
CUST_000257,4.7,58.0,男,三线,2024-09-16,2,940.23,470.12,0.56,4.0,流失风险
CUST_000258,3.8,34.0,女,一线,2024-10-07,3,1240.32,413.44,0.8,3.0,流失风险
CUST_000259,2.0,47.0,女,三线,2024-12-09,7,3142.1,448.87,0.39,3.0,一般客户
CUST_000260,0.6,39.0,男,三线,2024-11-24,8,1772.82,221.6,0.48,5.0,一般客户
CUST_000261,1.9,33.0,男,二线,2024-11-10,5,2788.96,557.79,0.57,5.0,一般客户
CUST_000262,2.0,39.0,男,一线,2024-11-06,4,2085.76,521.44,0.3,3.0,一般客户
CUST_000263,2.6,51.0,男,一线,2024-12-21,10,6704.91,670.49,0.37,4.0,潜力客户
CUST_000264,1.1,52.0,男,三线,2024-12-26,14,5886.0,420.43,0.22,3.0,潜力客户
CUST_000265,1.2,59.0,女,二线,2024-12-16,9,5019.49,557.72,0.31,5.0,潜力客户
CUST_000266,2.3,57.0,男,二线,2024-08-30,1,1146.48,1146.48,0.63,4.0,流失风险
CUST_000267,3.3,40.0,男,三线,2024-12-20,11,3223.89,293.08,0.39,4.0,潜力客户
CUST_000268,3.5,,女,一线,2024-12-16,8,3506.3,438.29,0.31,3.0,潜力客户
CUST_000269,4.9,48.0,男,其他,2024-07-20,4,1258.18,314.55,0.55,4.0,流失风险
CUST_000270,2.5,58.0,女,二线,2024-12-21,10,3735.31,373.53,0.23,5.0,潜力客户
CUST_000271,2.0,38.0,男,二线,2024-12-08,3,1264.61,421.54,0.35,4.0,一般客户
